Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
HFCL Ltd.,HFCL,19,1,55.15,55.7,54.25,55.15,54.95,-0.2,0,2275417,124943147.47,101.35,51.55,-18.3,-12.39
Hinduja Global Solutions Ltd.,HGS,18,1,1075.0,1080.55,1050.05,1067.1,1074.1,7.0,1,180181,193514394.0,3920.0,846.0,-11.06,11.13
Hikal Ltd.,HIKAL,11,1,239.85,243.6,234.15,239.0,238.95,-0.05,0,386423,92262355.48,742.0,212.0,-51.31,-27.67
Hindalco Industries Ltd.,HINDALCO,14,1,335.0,342.9,330.25,338.65,341.8,3.15,1,11278576,3788248106.88,636.0,308.95,-8.98,-19.86
Hindustan Copper Ltd.,HINDCOPPER,14,1,86.1,88.75,85.65,87.1,88.3,1.2,1,2962596,258130989.48,159.4,81.2,-39.56,-17.13
Hindustan Petroleum Corporation Ltd.,HINDPETRO,15,1,218.0,229.0,216.2,217.2,227.5,10.3,1,8196598,1840464114.92,354.8,206.5,-25.92,-4.65
Hindustan Unilever Ltd.,HINDUNILVR,8,1,2226.0,2293.0,2203.6,2230.6,2291.0,60.4,1,1235612,2788393244.28,2859.3,1901.55,-9.74,-5.21
Hindustan Zinc Ltd.,HINDZINC,14,1,246.0,249.0,245.35,249.35,247.75,-1.6,0,310474,76659135.34,408.6,245.1,-26.51,-17.15
HLE Glascoat Ltd.,HLEGLAS,1,1,3320.0,3447.9,3252.4,3295.2,3410.0,114.8,1,13768,46522898.08,7550.0,2950.0,-5.48,-4.13
Home First Finance Company India Ltd.,HOMEFIRST,9,1,746.95,748.0,726.05,743.7,733.95,-9.75,0,37017,27411828.84,921.3,525.05,37.4,-4.41
Honeywell Automation India Ltd.,HONAUT,1,1,34069.8,34069.8,33133.65,33787.7,33244.05,-543.65,0,1860,62036431.2,47275.95,30185.35,-19.23,4.96
Housing & Urban Development Corporation Ltd.,HUDCO,9,1,34.8,35.0,34.6,34.8,34.85,0.05,1,544695,18949939.05,56.15,30.6,-34.4,-3.2
Indiabulls Real Estate Ltd.,IBREALEST,17,1,61.2,62.3,60.15,60.95,61.7,0.75,1,4909229,299462969.0,195.9,60.15,-48.26,-18.9
Indiabulls Housing Finance Ltd.,IBULHSGFIN,9,1,94.5,96.4,93.1,94.75,96.2,1.45,1,12436219,1174725246.74,297.8,90.75,-63.7,-19.7
ICICI Bank Ltd.,ICICIBANK,9,1,703.45,706.75,694.1,707.2,706.0,-1.2,0,9884899,6924865994.45,867.0,629.8,12.09,-6.06
ICICI Lombard General Insurance Company Ltd.,ICICIGI,9,1,1120.0,1150.0,1105.85,1120.95,1144.0,23.05,1,228217,258033551.05,1675.0,1071.0,-28.47,-11.45
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,9,1,489.0,502.45,484.2,489.0,501.75,12.75,1,757837,374288115.93,724.3,430.0,-20.19,-6.25
Indo Count Industries Ltd.,ICIL,20,1,131.25,138.0,130.4,131.05,136.5,5.45,1,387980,52474295.0,315.0,119.55,-22.98,-12.05
IDBI Bank Ltd.,IDBI,9,1,30.9,31.0,30.6,30.8,30.85,0.05,1,3091913,95076324.75,65.25,30.5,-18.73,-15.96
Vodafone Idea Ltd.,IDEA,19,1,8.35,8.6,8.2,8.4,8.5,0.1,1,65435996,547699286.52,16.8,4.55,-15.58,-12.5
IDFC Ltd.,IDFC,9,1,49.35,51.4,48.65,49.15,50.8,1.65,1,5859079,293422676.32,70.2,41.65,-8.81,-0.61
IDFC First Bank Ltd.,IDFCFIRSTB,9,1,31.35,32.45,30.6,31.45,32.4,0.95,1,38981951,1227541636.99,56.25,28.95,-41.97,-13.36
Indian Energy Exchange Ltd.,IEX,9,1,158.0,161.15,157.0,158.75,159.9,1.15,1,9279366,1476625511.58,318.67,124.45,-57.68,-18.44
IFB Industries Ltd.,IFBIND,5,1,903.0,903.0,885.8,899.6,894.9,-4.7,0,6449,5766953.76,1365.85,800.0,-11.98,3.77
Indraprastha Gas Ltd.,IGL,15,1,357.15,361.9,352.6,355.9,359.95,4.05,1,1103024,394121505.44,602.05,321.0,-36.19,-5.9
IIFL Finance Ltd.,IIFL,9,1,323.5,335.0,317.15,323.75,333.5,9.75,1,526247,172893189.38,396.0,242.9,-11.06,0.76
IIFL Wealth Management Ltd.,IIFLWAM,9,1,1488.5,1550.0,1458.95,1481.05,1543.0,61.95,1,191551,288908711.26,1908.3,1122.35,27.2,-5.45
Indian Hotels Co. Ltd.,INDHOTEL,6,1,222.1,228.1,220.4,225.15,226.3,1.15,1,3902317,873104405.58,268.95,129.17,59.17,-4.19
India Cements Ltd.,INDIACEM,4,1,156.5,161.8,154.65,156.5,160.55,4.05,1,2206090,350724188.2,259.95,145.45,-18.47,-7.45
Indiamart Intermesh Ltd.,INDIAMART,6,1,3822.5,3877.4,3791.05,3809.2,3818.0,8.8,1,98110,375615116.1,9710.7,3785.1,-45.52,-16.36
Indian Bank,INDIANB,9,1,148.35,150.75,146.65,149.85,149.65,-0.2,0,746419,110776043.79,194.95,115.1,3.56,-11.57
InterGlobe Aviation Ltd.,INDIGO,18,1,1610.55,1667.0,1591.6,1606.2,1651.8,45.6,1,692564,1130735391.52,2380.0,1511.75,-6.45,-12.64
Indigo Paints Ltd.,INDIGOPNTS,5,1,1404.5,1405.0,1372.7,1395.65,1388.0,-7.65,0,12205,16919913.55,2709.0,1353.6,-44.45,-12.79
Indoco Remedies Ltd.,INDOCO,11,1,368.25,372.95,365.65,367.05,370.0,2.95,1,21554,7949977.36,530.25,322.7,-11.06,3.94
IndusInd Bank Ltd.,INDUSINDBK,9,1,793.0,810.0,783.0,794.35,808.0,13.65,1,2796110,2241976920.2,1242.0,763.2,-21.84,-14.66
Indus Towers Ltd.,INDUSTOWER,19,1,210.0,210.9,204.5,209.1,208.35,-0.75,0,2187045,453177594.45,332.8,181.2,-12.38,3.62
Infibeam Avenues Ltd.,INFIBEAM,12,1,13.9,14.1,13.4,14.1,13.6,-0.5,0,2029884,27667318.92,28.05,12.5,-72.81,-4.41
Infosys Ltd.,INFY,12,1,1454.0,1485.0,1442.35,1461.9,1481.0,19.1,1,4651635,6800411271.9,1953.9,1367.15,-7.52,-2.77
Inox Leisure Ltd.,INOXLEISUR,13,1,509.1,525.0,503.0,508.45,523.2,14.75,1,441730,226943204.8,563.6,291.0,64.71,0.98
Intellect Design Arena Ltd.,INTELLECT,12,1,635.6,659.0,623.35,633.35,658.95,25.6,1,329488,211271000.48,986.65,562.65,-12.51,-5.89
Indian Overseas Bank,IOB,9,1,16.45,16.8,16.1,16.45,16.6,0.15,1,718064,11840875.36,29.0,15.25,-41.35,-10.11
Indian Oil Corporation Ltd.,IOC,15,1,75.0,75.15,72.85,74.25,74.7,0.45,1,22029311,1629728427.78,94.33,67.7,-31.19,-35.99
Ipca Laboratories Ltd.,IPCALAB,11,1,890.25,914.25,890.25,897.5,912.0,14.5,1,154987,140412022.52,1383.1,831.05,-55.71,-0.57
IRB Infrastructure Developers Ltd.,IRB,3,1,203.0,205.9,198.0,202.25,204.0,1.75,1,636428,128240242.0,345.85,148.05,25.31,-8.42
IRCON International Ltd.,IRCON,3,1,35.95,36.2,35.8,36.05,36.15,0.1,1,190000,6838100.0,53.4,34.8,-26.13,-9.99
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,6,1,576.2,585.8,575.7,576.2,578.3,2.1,1,1928361,1117909438.92,1279.26,404.29,-71.67,-16.81
Indian Railway Finance Corporation Ltd.,IRFC,9,1,19.7,20.05,19.6,19.65,20.0,0.35,1,2510750,49687742.5,26.4,19.3,-20.93,-7.31
ICICI Securities Ltd.,ISEC,9,1,427.1,429.6,412.0,428.9,413.5,-15.4,0,570584,237003476.08,896.05,408.4,-33.08,-4.05
ITC Ltd.,ITC,8,1,273.5,285.0,271.2,273.5,284.75,11.25,1,35165665,9842517976.85,285.0,200.9,34.93,1.05
ITI Ltd.,ITI,19,1,100.65,103.0,97.15,100.65,98.8,-1.85,0,1243276,124091377.56,143.8,81.0,-23.43,9.58
Jamna Auto Industries Ltd.,JAMNAAUTO,0,1,122.2,129.8,122.2,122.15,125.4,3.25,1,6199390,784966761.8,129.8,78.6,44.3,10.64
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,11,1,1578.0,1587.0,1558.9,1572.65,1563.0,-9.65,0,15467,24327425.62,1985.0,1342.2,-5.56,-3.26
Jindal Steel & Power Ltd.,JINDALSTEL,14,1,326.2,334.6,322.05,329.25,333.0,3.75,1,4320099,1419973340.31,577.8,304.2,-17.16,-12.86
J.K. Cement Ltd.,JKCEMENT,4,1,2106.2,2160.9,2100.0,2108.95,2149.0,40.05,1,128324,274755799.64,3838.0,2003.7,-26.04,-11.47
JK Lakshmi Cement Ltd.,JKLAKSHMI,4,1,416.05,423.45,412.0,420.25,416.95,-3.3,0,92645,38667243.65,816.0,366.25,-27.22,-5.34
JK Paper Ltd.,JKPAPER,10,1,298.0,309.75,297.05,295.7,303.25,7.55,1,2270069,691690024.3,387.4,191.25,39.55,-12.06
JM Financial Ltd.,JMFINANCIL,9,1,61.5,61.5,59.5,60.95,59.65,-1.3,0,368055,22193716.5,117.7,57.1,-31.13,-7.02
Jindal Stainless Ltd.,JSL,14,1,100.0,100.6,97.35,99.8,99.8,0.75,0,492895,48845894.5,224.4,95.05,-8.98,-10.89
JSW Energy Ltd.,JSWENERGY,16,1,204.3,207.75,199.0,207.95,205.3,-2.65,0,662114,134740199.0,408.0,161.4,23.96,-24.83
JSW Steel Ltd.,JSWSTEEL,14,1,556.55,580.5,556.55,564.5,577.5,13.0,1,3737790,2128073358.6,790.0,520.05,-17.46,2.4
Jubilant Foodworks Ltd.,JUBLFOOD,6,1,512.25,545.0,508.5,512.25,541.15,28.9,1,5437843,2894998856.34,918.0,451.2,-83.37,-7.02
Jubilant Ingrevia Ltd.,JUBLINGREA,2,1,485.5,490.85,473.05,485.85,476.0,-9.85,0,163007,78083613.14,838.75,401.2,-7.18,-4.0
Jubilant Pharmova Ltd.,JUBLPHARMA,11,1,348.8,349.0,281.8,343.7,340.0,-3.7,0,71858,23945959.92,767.0,281.8,-53.06,-10.55
Justdial Ltd.,JUSTDIAL,6,1,560.0,569.1,551.05,565.25,558.0,-7.25,0,194406,108597135.66,1138.0,520.0,-41.18,-14.55
Jyothy Labs Ltd.,JYOTHYLAB,8,1,148.35,152.5,147.5,149.65,150.0,2.85,1,771549,115686057.06,187.3,130.15,-3.33,0.44
Kajaria Ceramics Ltd.,KAJARIACER,5,1,947.7,965.0,937.2,947.7,952.0,4.3,1,72125,68652902.5,1374.9,885.3,-3.29,-8.24
Kalpataru Power Transmission Ltd.,KALPATPOWR,3,1,354.0,358.75,353.15,356.7,354.85,-1.85,0,17142,6076667.58,496.0,331.8,-16.23,-1.07
Kalyan Jewellers India Ltd.,KALYANKJIL,5,1,58.5,61.8,58.05,59.9,61.3,1.4,1,501257,30220784.53,83.6,55.05,-23.45,-0.42
Kansai Nerolac Paints Ltd.,KANSAINER,5,1,372.35,375.0,368.3,370.5,370.05,-0.45,0,269671,99896925.24,675.0,358.15,-35.59,-7.42
Karur Vysya Bank Ltd.,KARURVYSYA,9,1,44.95,44.95,43.7,44.95,44.25,-0.7,0,1017461,45022649.25,60.7,38.4,-13.06,-6.01
Kec International Ltd.,KEC,1,1,393.15,393.15,384.1,391.25,386.1,-5.15,0,149531,57938776.57,550.0,345.5,-13.59,-1.22
KEI Industries Ltd.,KEI,1,1,1152.55,1208.0,1152.5,1152.55,1200.0,47.45,1,340326,406628311.32,1377.35,687.5,66.21,-6.77
Krishna Institute of Medical Sciences Ltd.,KIMS,11,1,1182.0,1233.45,1167.0,1184.55,1210.0,25.45,1,44951,54397452.65,1565.0,937.55,25.08,-9.68
KNR Constructions Ltd.,KNRCON,3,1,230.5,236.15,228.75,233.05,235.7,2.65,1,58500,13689585.0,343.9,207.5,-2.31,-10.37
Kotak Mahindra Bank Ltd.,KOTAKBANK,9,1,1645.0,1679.5,1636.0,1661.1,1678.0,16.9,1,2300514,3822234995.58,2253.0,1626.0,-2.62,-10.06
KPIT Technologies Ltd.,KPITTECH,12,1,512.0,514.95,495.4,517.65,500.9,-16.75,0,940281,471738977.7,801.0,245.2,99.33,-2.39
K.P.R. Mill Ltd.,KPRMILL,20,1,516.0,516.4,506.5,515.65,508.5,-7.15,0,121702,62085058.28,769.0,304.0,-66.13,-17.94
KRBL Ltd.,KRBL,8,1,217.0,218.8,215.3,217.85,216.7,-1.15,0,62909,13657543.9,337.95,184.5,-7.49,-0.86
L&T Finance Holdings Ltd.,L&TFH,9,1,67.0,68.95,66.3,67.6,68.8,1.7,1,3855009,260752808.76,95.95,58.5,-27.23,-10.82
Dr. Lal Path Labs Ltd.,LALPATHLAB,11,1,2167.95,2248.0,2148.45,2160.4,2235.1,74.7,1,210696,464932328.4,4245.5,1805.55,-33.98,3.63
Latent View Analytics Ltd.,LATENTVIEW,12,1,332.0,336.8,330.3,333.95,335.15,1.2,1,212311,70890642.9,754.9,305.25,-11.06,-16.67
Laurus Labs Ltd.,LAURUSLABS,11,1,464.0,467.1,459.5,464.7,466.8,2.1,1,443092,205311109.12,723.75,436.8,-32.52,-18.11
Lakshmi Machine Works Ltd.,LAXMIMACH,1,1,9050.0,9068.0,8876.0,8981.85,9068.0,86.15,1,1507,13561553.28,11790.0,6499.95,37.88,-3.93
LIC Housing Finance Ltd.,LICHSGFIN,9,1,326.9,339.25,319.9,327.35,337.0,9.65,1,2366258,784012263.14,476.55,291.75,-30.35,-13.4
Linde India Ltd.,LINDEINDIA,2,1,3150.0,3248.0,3111.0,3198.15,3224.0,25.85,1,40600,129405192.0,4190.0,1564.1,94.42,6.85
Macrotech Developers Ltd.,LODHA,17,1,1060.05,1070.95,1045.0,1069.0,1068.7,-0.3,0,39067,41512984.87,1539.0,645.0,56.37,10.41
Larsen & Toubro Ltd.,LT,3,1,1560.95,1576.0,1534.6,1558.25,1571.8,13.55,1,1294305,2016255385.95,2078.55,1456.35,3.85,-5.82
Larsen & Toubro Infotech Ltd.,LTI,12,1,3945.0,4015.95,3905.25,3975.45,4000.65,25.2,1,268702,1067066695.38,7588.8,3733.3,-2.35,-6.54
L&T Technology Services Ltd.,LTTS,12,1,2995.0,3027.2,2937.0,3030.8,2984.0,-46.8,0,364261,1087584995.53,5955.5,2801.0,4.4,-13.46
Lupin Ltd.,LUPIN,11,1,613.1,630.55,608.7,610.95,627.3,16.35,1,908035,561083906.85,1191.55,583.0,-46.83,-1.24
Lux Industries Ltd.,LUXIND,20,1,1754.45,1765.0,1729.05,1754.45,1740.0,-14.45,0,15428,26888535.52,4644.0,1684.85,-50.96,-12.56
Laxmi Organic Industries Ltd.,LXCHEM,2,1,283.0,287.35,280.6,284.65,287.0,2.35,1,338168,96235849.44,628.0,219.6,29.18,-22.65
Mahindra & Mahindra Ltd.,M&M,0,1,1092.4,1113.35,1064.0,1093.15,1107.0,13.85,1,2839545,3101862167.1,1121.45,671.15,40.56,5.68
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,9,1,176.05,179.7,171.05,175.4,177.2,1.8,1,2173337,380899042.62,206.35,128.0,11.65,-1.63
Bank of Maharashtra,MAHABANK,9,1,15.6,15.7,15.5,15.55,15.65,0.1,1,892261,13910348.99,26.3,15.0,-38.78,-11.9
Mahindra CIE Automotive Ltd.,MAHINDCIE,0,1,233.0,233.1,226.1,233.1,229.95,-3.15,0,276850,63426335.0,312.0,163.95,-1.89,19.63
Mahindra Logistics Ltd.,MAHLOG,18,1,474.0,474.0,455.0,471.65,461.0,-10.65,0,17972,8287068.92,821.0,391.1,-14.55,2.67
Manappuram Finance Ltd.,MANAPPURAM,9,1,84.9,89.6,83.65,85.0,88.25,3.25,1,13581092,1194185419.56,224.5,81.5,-49.63,-11.04
C.E. Info Systems Ltd.,MAPMYINDIA,12,1,1399.9,1421.25,1373.2,1411.9,1407.0,-4.9,0,83012,116391955.32,1917.4,1128.8,-11.06,6.27
Marico Ltd.,MARICO,8,1,478.0,493.0,477.6,477.9,492.0,14.1,1,846365,411604226.8,607.7,455.65,-9.97,-10.45
Maruti Suzuki India Ltd.,MARUTI,0,1,8440.0,8450.0,8305.6,8470.75,8399.95,-70.8,0,530569,4440634385.33,9050.0,6536.55,12.7,6.33
Mastek Ltd.,MASTEK,12,1,2130.0,2133.05,2081.3,2145.0,2093.0,-52.0,0,27911,58699624.1,3669.0,1850.7,-5.34,-19.45
Max Healthcare Institute Ltd.,MAXHEALTH,11,1,364.6,367.05,357.0,366.95,360.05,-6.9,0,326670,118052004.6,458.05,250.6,44.18,-3.52
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,1,1,246.7,249.95,241.55,246.25,249.1,2.85,1,68727,16861482.18,342.4,221.1,1.34,-11.02
United Spirits Ltd.,MCDOWELL-N,8,1,760.5,791.5,754.05,759.75,787.1,27.35,1,2124003,1649755610.16,1019.95,629.1,14.83,-6.13
Multi Commodity Exchange of India Ltd.,MCX,9,1,1305.95,1324.45,1275.5,1307.95,1282.95,-25.0,0,433916,564494341.88,2135.0,1143.0,-14.04,-4.64
Medplus Health Services Ltd.,MEDPLUS,6,1,770.0,770.0,750.0,767.3,750.1,-17.2,0,10669,8052107.68,1343.0,708.0,-11.06,-11.22
Metro Brands Ltd.,METROBRAND,5,1,600.0,631.25,600.0,598.75,617.5,18.75,1,582857,359389626.2,673.0,426.0,-11.06,0.39
Metropolis Healthcare Ltd.,METROPOLIS,11,1,1400.0,1439.95,1397.05,1406.45,1435.1,28.65,1,100318,142381337.4,3579.9,1378.05,-50.4,-12.98
Max Financial Services Ltd.,MFSL,9,1,782.35,808.4,772.15,782.35,802.2,19.85,1,320516,254855092.24,1148.05,696.5,-26.22,-1.55
Mahanagar Gas Ltd.,MGL,15,1,760.55,771.0,757.05,760.6,770.7,10.1,1,170132,130261565.8,1212.0,665.8,-33.08,0.56
Mahindra Holidays & Resorts India Ltd.,MHRIL,6,1,213.5,231.0,211.1,214.4,227.0,12.6,1,1395618,315423624.18,274.9,165.43,-14.26,-3.01
Minda Industries Ltd.,MINDAIND,0,1,925.0,947.0,900.0,923.15,943.7,20.55,1,178456,167143674.16,1257.4,629.15,44.15,0.09
MindTree Ltd.,MINDTREE,12,1,2874.0,2905.9,2810.0,2887.05,2890.75,3.7,1,582730,1666776791.7,5060.0,2457.55,11.02,-5.27
MMTC Ltd.,MMTC,18,1,39.4,40.35,38.9,39.2,39.35,0.15,1,1476769,58435749.33,64.7,31.0,-30.74,-4.51
MOIL Ltd.,MOIL,14,1,141.6,142.9,140.7,140.1,141.85,1.75,1,95406,13533341.1,201.9,137.3,-27.13,-13.01
Motilal Oswal Financial Services Ltd.,MOTILALOFS,9,1,754.1,766.0,745.0,766.5,753.3,-10.2,0,27524,20773739.0,1188.0,714.0,-2.22,-3.33
MphasiS Ltd.,MPHASIS,12,1,2279.2,2299.45,2220.1,2294.05,2239.9,-54.15,0,332856,746179938.0,3659.75,2076.05,7.49,-11.55
MRF Ltd.,MRF,0,1,70300.0,72500.0,70300.0,70800.9,71900.0,0.75,1,5409,386007226.92,87550.0,63000.0,-11.59,-8.82
Mangalore Refinery & Petrochemicals Ltd.,MRPL,15,1,88.05,91.25,81.55,90.6,81.55,-9.05,0,26739501,2226330853.26,127.65,37.05,76.61,11.65
MTAR Technologies Ltd.,MTARTECH,1,1,1279.0,1279.0,1238.95,1271.25,1241.0,-30.25,0,104163,130305829.74,2563.3,1010.95,12.78,-10.9
Muthoot Finance Ltd.,MUTHOOTFIN,9,1,980.0,1048.3,977.1,976.3,1039.8,63.5,1,1982052,2016083832.84,1721.95,960.4,-34.11,-14.59
Nippon Life India Asset Management Ltd.,NAM-INDIA,9,1,270.6,273.9,269.05,271.25,272.0,0.75,1,205261,55794045.02,476.45,259.0,-25.93,-4.49
NATCO Pharma Ltd.,NATCOPHARM,11,1,652.0,653.0,642.7,649.8,647.0,-2.8,0,48437,31447237.88,1189.0,607.75,-42.46,-5.96
National Aluminium Co. Ltd.,NATIONALUM,14,1,68.0,68.9,67.0,68.8,68.65,-0.15,0,16360489,1116276164.47,132.7,67.0,-12.19,-28.48
Info Edge (India) Ltd.,NAUKRI,6,1,3771.9,3774.0,3606.0,3758.8,3720.65,-38.15,0,413841,1521109841.19,7465.4,3313.0,-23.54,-9.74
Navin Fluorine International Ltd.,NAVINFLUOR,2,1,3665.0,3696.85,3557.95,3651.6,3675.0,23.4,1,112850,410425293.5,4329.0,3202.5,-2.6,-6.95
Nazara Technologies Ltd.,NAZARA,13,1,670.0,676.9,638.3,671.4,649.9,-21.5,0,302182,197974537.3,1678.0,475.05,-55.68,-44.79
NBCC (India) Ltd.,NBCC,3,1,28.5,28.8,28.1,28.4,28.8,0.4,1,1801802,51189194.82,55.5,26.55,-47.36,-15.35
NCC Ltd.,NCC,3,1,54.05,55.95,53.1,54.1,55.2,1.1,1,2281956,124389421.56,98.5,52.2,-37.71,-16.19
NESCO Ltd.,NESCO,18,1,550.0,555.5,545.6,550.85,553.6,2.75,1,12047,6631150.68,696.8,501.95,-9.09,1.71
Nestle India Ltd.,NESTLEIND,8,1,17400.0,17829.4,17331.05,17470.0,17800.0,330.0,1,38547,681238432.71,20609.15,16000.0,-0.92,-1.25
Network18 Media & Investments Ltd.,NETWORK18,13,1,68.2,68.75,66.5,69.0,67.45,-1.55,0,1455769,98468215.16,117.5,46.0,37.86,-8.61
Narayana Hrudayalaya Ltd.,NH,11,1,634.1,644.35,631.5,632.55,640.0,7.45,1,50400,32060448.0,777.0,468.3,28.5,-3.38
NHPC Ltd.,NHPC,16,1,30.65,31.35,30.6,30.75,30.95,0.2,1,6808415,211197033.3,37.6,25.3,17.37,-8.62
The New India Assurance Company Ltd.,NIACL,9,1,79.8,80.6,78.15,79.8,78.9,-0.9,0,289192,22805681.12,178.4,78.15,-52.95,-21.26
NLC India Ltd.,NLCINDIA,16,1,63.6,64.25,61.6,63.65,62.75,-0.9,0,2402689,150240143.17,92.4,49.8,4.26,-15.64
NMDC Ltd.,NMDC,14,1,107.15,110.0,106.35,108.2,109.85,1.65,1,5571985,602833057.15,186.9,101.55,-41.23,-14.2
NOCIL Ltd.,NOCIL,2,1,253.75,254.5,244.35,253.2,247.7,-5.5,0,373166,92500388.08,321.3,190.7,16.92,3.54
NTPC Ltd.,NTPC,16,1,142.0,143.2,139.75,142.9,141.1,-1.8,0,9592229,1355381957.7,166.35,111.95,22.77,-8.4
Nuvoco Vistas Corporation Ltd.,NUVOCO,4,1,299.0,307.4,292.5,296.85,305.0,8.15,1,150042,44912071.86,577.9,260.25,-11.06,-1.54
FSN E-Commerce Ventures Ltd.,NYKAA,6,1,1399.8,1420.0,1381.4,1406.95,1405.05,-1.9,0,143804,201378807.48,2573.7,1207.5,-11.06,-5.86
Oberoi Realty Ltd.,OBEROIRLTY,17,1,734.35,751.0,731.35,737.65,740.25,2.6,1,563385,418724633.55,1051.9,605.5,17.14,-8.45
Oracle Financial Services Software Ltd.,OFSS,12,1,3090.25,3123.9,3044.25,3098.3,3064.05,-34.25,0,61691,188830598.81,5145.0,2950.0,-15.15,-5.94
Oil India Ltd.,OIL,15,1,245.5,249.45,210.05,251.5,214.2,-37.3,0,16490601,3699501428.34,306.0,153.1,59.99,5.47
Oil & Natural Gas Corporation Ltd.,ONGC,15,1,148.95,151.15,130.0,151.55,131.4,-20.15,0,125788305,17143688088.45,194.95,108.5,28.76,0.2
Orient Electric Ltd.,ORIENTELEC,5,1,272.3,274.95,265.1,272.05,274.3,2.25,1,43089,11637477.12,408.0,244.0,-13.24,-2.79
Page Industries Ltd.,PAGEIND,20,1,40199.0,41599.9,40124.95,40166.5,41236.6,0.75,1,13064,535251806.64,46737.7,29119.95,36.06,-11.12
One 97 Communications Ltd.,PAYTM,9,1,672.9,675.7,652.0,675.7,657.7,-18.0,0,3069693,2027839195.8,1955.0,510.05,-11.06,3.48
PCBL Ltd.,PCBL,2,1,104.0,106.4,103.05,104.75,104.0,-0.75,0,547189,57274272.63,138.65,89.0,-11.06,-0.76
Piramal Enterprises Ltd.,PEL,9,1,1661.5,1682.9,1626.3,1655.7,1672.0,16.3,1,536946,887040161.46,3014.95,1560.1,-30.96,-12.63
Persistent Systems Ltd.,PERSISTENT,12,1,3385.0,3422.25,3270.05,3401.8,3329.0,-72.8,0,234003,777882132.72,4987.5,2725.05,15.75,-9.52
Petronet LNG Ltd.,PETRONET,15,1,215.3,222.4,214.8,217.3,220.6,3.3,1,2021428,439842518.52,243.55,190.25,-3.76,-4.23
Power Finance Corporation Ltd.,PFC,9,1,104.3,106.1,103.2,104.45,105.9,1.45,1,2843672,298670870.16,153.75,97.1,-18.91,-6.2
Pfizer Ltd.,PFIZER,11,1,4105.0,4117.95,4077.5,4080.35,4103.0,22.65,1,4025,16489096.75,6175.0,4060.0,-28.05,-5.39
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,8,1,13330.0,13450.0,13224.6,13369.15,13450.0,80.85,1,23356,311314226.04,16448.7,12310.1,0.47,-3.25
Procter & Gamble Health Ltd.,PGHL,11,1,4192.0,4194.25,4102.1,4190.85,4111.0,-79.85,0,3956,16433184.44,5851.75,3901.05,-24.49,-1.82
Phoenix Mills Ltd.,PHOENIXLTD,17,1,1183.7,1214.0,1162.8,1183.7,1173.05,-10.65,0,172501,205640167.11,1244.95,793.4,45.21,1.44
Pidilite Industries Ltd.,PIDILITIND,2,1,2099.95,2164.35,2082.8,2089.9,2158.0,68.1,1,501109,1067727979.57,2764.7,1988.55,-2.97,-6.93
PI Industries Ltd.,PIIND,2,1,2559.5,2590.25,2511.95,2559.5,2576.1,16.6,1,79059,202265336.19,3534.9,2333.55,-12.06,-7.21
Punjab National Bank,PNB,9,1,29.05,29.6,28.75,29.0,29.55,0.55,1,17767070,518087761.2,48.2,28.05,-31.44,-7.5
PNB Housing Finance Ltd.,PNBHOUSING,9,1,329.55,329.55,324.65,330.3,327.55,-2.75,0,59692,19533610.08,784.4,311.45,-11.06,1.55
PNC Infratech Ltd.,PNCINFRA,3,1,243.0,243.0,236.05,242.15,237.65,-4.5,0,90779,21687103.1,395.9,219.0,-16.05,-1.16
PB Fintech Ltd.,POLICYBZR,9,1,571.95,603.0,571.4,572.95,585.05,12.1,1,543062,322052057.86,1470.0,540.1,-11.06,-13.67
Polycab India Ltd.,POLYCAB,1,1,2202.5,2216.8,2156.25,2201.2,2180.0,-21.2,0,409500,894397140.0,2820.0,1762.0,11.45,-9.85
Poly Medicure Ltd.,POLYMED,11,1,750.9,769.15,729.4,750.85,738.95,-11.9,0,23654,17687988.12,1094.25,651.1,-26.14,0.14
Polyplex Corporation Ltd.,POLYPLEX,1,1,2204.0,2248.65,2167.95,2202.3,2236.0,33.7,1,146621,324750852.9,2870.2,1325.45,58.75,-6.98
Poonawalla Fincorp Ltd.,POONAWALLA,9,1,227.5,232.0,224.1,227.7,230.45,2.75,1,2033688,465165456.24,343.8,140.75,-11.06,-12.24
Power Grid Corporation of India Ltd.,POWERGRID,16,1,211.05,212.9,205.2,211.9,206.55,-5.35,0,8350248,1735766051.76,248.35,167.15,-8.82,-9.02
Hitachi Energy India Ltd.,POWERINDIA,1,1,3168.3,3175.0,3092.0,3151.7,3100.0,-51.7,0,17764,55873997.4,4042.6,1741.0,66.73,-10.72
Praj Industries Ltd.,PRAJIND,1,1,364.9,364.9,357.4,363.9,358.5,-5.4,0,207864,74752051.68,448.0,289.05,-11.06,6.17
Prestige Estates Projects Ltd.,PRESTIGE,17,1,385.0,391.75,381.1,387.15,387.4,0.25,1,209983,81070236.64,554.9,284.0,33.71,-9.79
