Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Bosch Ltd.,BOSCHLTD,0,1,15273.0,15731.2,15201.55,15229.6,15650.0,420.4,1,71619,1114657346.49,19250.0,12932.45,1.36,4.12
Bharat Petroleum Corporation Ltd.,BPCL,15,1,308.5,319.25,305.7,308.4,318.5,10.1,1,4416695,1381939698.55,503.0,293.35,-34.12,-5.46
Brigade Enterprises Ltd.,BRIGADE,17,1,439.0,447.45,436.05,444.4,443.5,-0.9,0,140806,62332000.08,554.7,268.7,58.88,-4.36
Britannia Industries Ltd.,BRITANNIA,8,1,3412.0,3600.0,3412.0,3466.4,3575.0,108.6,1,292487,1029595188.18,4153.0,3050.0,-5.02,-4.97
BSE Ltd.,BSE,9,1,594.95,604.95,586.45,596.9,600.15,3.25,1,778640,463088353.6,1046.67,296.33,-33.71,-21.03
Birlasoft Ltd.,BSOFT,12,1,353.7,357.1,343.55,353.25,352.1,-1.15,0,1752456,612360700.08,585.85,316.45,-11.6,-4.68
Computer Age Management Services Ltd.,CAMS,9,1,2258.8,2258.8,2207.0,2257.75,2230.0,-27.75,0,57998,129291461.52,4067.4,2037.15,-19.15,-2.92
Canara Bank,CANBK,9,1,181.65,185.7,178.45,181.25,185.5,4.25,1,5768579,1048958405.36,272.8,142.1,19.36,-11.59
Can Fin Homes Ltd.,CANFINHOME,9,1,427.85,443.4,424.7,426.35,441.45,15.1,1,663285,290260148.85,722.0,406.65,-18.57,-11.86
Caplin Point Laboratories Ltd.,CAPLIPOINT,11,1,704.0,714.15,704.0,710.4,711.25,0.85,1,26432,18764605.44,1034.8,626.0,6.49,-4.28
Carborundum Universal Ltd.,CARBORUNIV,1,1,715.0,721.55,698.35,716.9,710.0,-6.9,0,117136,82768297.6,1035.0,590.55,18.25,-0.5
Castrol India Ltd.,CASTROLIND,15,1,103.3,104.15,102.75,103.3,104.0,0.7,1,228227,23644317.2,150.0,99.05,-27.81,-4.97
CCL Products (I) Ltd.,CCL,8,1,380.0,385.15,375.25,383.45,382.3,-1.15,0,132875,50844618.75,514.95,310.0,6.03,8.29
Central Depository Services (India) Ltd.,CDSL,9,1,1111.4,1117.7,1096.0,1114.4,1105.0,-9.4,0,208635,230664769.65,1734.4,974.0,13.88,-11.38
Ceat Ltd.,CEATLTD,0,1,933.0,949.0,917.75,929.2,935.55,6.35,1,29484,27602036.28,1477.75,890.0,-31.66,-8.36
Central Bank of India,CENTRALBK,9,1,16.9,17.0,16.25,16.9,16.8,-0.1,0,891053,14978600.93,29.65,16.25,-39.86,-10.58
Century Plyboards (India) Ltd.,CENTURYPLY,5,1,526.0,526.35,511.05,525.7,512.1,-13.6,0,35943,18514598.73,749.0,341.8,29.95,-8.41
Century Textile & Industries Ltd.,CENTURYTEX,10,1,808.0,817.95,797.0,805.7,806.5,0.8,1,156605,126723199.95,1024.0,607.7,30.97,0.98
Cera Sanitaryware Ltd,CERA,5,1,4141.7,4160.0,4085.9,4132.75,4111.25,-21.5,0,2801,11566421.39,6450.0,3515.0,-7.85,-1.61
CESC Ltd.,CESC,16,1,70.95,71.9,70.5,71.2,70.75,-0.45,0,565200,40174416.0,102.45,7.23,-90.75,-8.72
Capri Global Capital Ltd.,CGCL,9,1,685.55,689.15,681.05,687.4,681.15,-6.25,0,16875,11555156.25,805.0,436.85,29.13,2.38
CG Power and Industrial Solutions Ltd.,CGPOWER,1,1,192.0,196.25,188.6,191.65,189.65,-2.0,0,928649,178430618.86,219.65,71.7,-11.06,5.33
Chalet Hotels Ltd.,CHALET,6,1,314.8,331.8,310.05,314.65,327.15,12.5,1,866335,280848480.3,332.7,159.05,77.57,5.92
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,2,1,267.7,272.4,260.8,266.15,271.3,5.15,1,1548368,412593620.96,516.0,260.8,-13.19,-26.76
Chemplast Sanmar Ltd.,CHEMPLASTS,2,1,469.8,479.0,460.8,470.15,476.25,6.1,1,98313,46324102.47,826.0,382.7,-11.06,-2.52
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,9,1,616.2,643.15,616.05,619.5,637.95,18.45,1,1694794,1067737167.94,768.0,469.25,20.7,-8.84
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,9,1,590.25,610.5,586.9,593.2,602.05,8.85,1,17853,10648243.32,762.3,564.05,-10.42,-4.58
Cipla Ltd.,CIPLA,11,1,911.2,956.05,911.2,917.2,948.0,30.8,1,1793834,1677593556.8,1083.0,850.0,-5.63,-7.63
Clean Science and Technology Ltd.,CLEAN,2,1,1486.95,1490.0,1456.0,1490.05,1458.0,-32.05,0,77405,113280669.4,2705.0,1422.1,-11.06,-14.79
Coal India Ltd.,COALINDIA,15,1,185.0,186.15,176.6,185.6,183.2,-2.4,0,17248729,3132369186.4,209.0,132.75,26.56,-3.78
Cochin Shipyard Ltd.,COCHINSHIP,1,1,310.9,313.0,307.15,311.7,312.85,1.15,1,34795,10809066.75,402.6,280.75,-19.08,-3.53
Coforge Ltd.,COFORGE,12,1,3538.0,3538.0,3419.9,3539.3,3495.0,-44.3,0,536217,1852924654.35,6135.0,3218.1,-14.87,-9.52
Colgate Palmolive (India) Ltd.,COLPAL,8,1,1488.8,1520.0,1484.35,1486.85,1515.1,28.25,1,437561,661491592.97,1823.4,1375.6,-11.8,-8.63
Container Corporation of India Ltd.,CONCOR,18,1,596.4,605.0,585.05,594.3,603.15,8.85,1,1065738,634167396.9,754.4,554.0,-14.9,-8.63
Coromandel International Ltd.,COROMANDEL,2,1,953.0,969.5,932.75,953.15,968.05,14.9,1,366177,349230328.44,983.95,709.35,5.8,0.87
CreditAccess Grameen Ltd.,CREDITACC,9,1,1012.95,1025.0,995.15,1015.8,1021.9,6.1,1,159386,160874665.24,1154.0,494.7,35.44,-5.2
CRISIL Ltd.,CRISIL,9,1,3281.2,3398.0,3264.1,3286.7,3269.7,-17.0,0,42577,142348109.87,3863.55,2425.2,29.43,-3.52
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,5,1,339.95,351.1,337.1,340.15,349.8,9.65,1,517467,179317839.51,512.8,312.0,-21.73,-5.89
CSB Bank Ltd.,CSBBANK,9,1,194.5,195.0,190.0,193.1,191.6,-1.5,0,198621,38345770.26,374.0,178.0,-44.38,2.2
City Union Bank Ltd.,CUB,9,1,133.0,137.0,130.95,133.05,134.55,1.5,1,1461281,195154077.55,183.95,109.0,-20.14,-5.03
Cummins India Ltd.,CUMMINSIND,1,1,1016.0,1030.2,1014.0,1024.2,1030.0,5.8,1,149758,153313254.92,1162.0,821.6,13.86,-0.17
Cyient Ltd.,CYIENT,12,1,760.45,766.35,749.1,756.65,756.85,0.2,1,196910,149269594.6,1292.0,720.0,-11.98,-3.41
Dabur India Ltd.,DABUR,8,1,492.05,512.7,492.05,495.95,511.3,15.35,1,1704654,861071875.02,658.95,482.25,-12.8,-4.44
Dalmia Bharat Ltd.,DALBHARAT,4,1,1280.0,1337.8,1272.5,1283.65,1326.0,42.35,1,197336,259368571.6,2548.4,1212.5,-32.12,-5.79
Dilip Buildcon Ltd.,DBL,3,1,190.0,190.75,187.45,190.4,189.75,-0.65,0,231621,43871333.61,749.8,187.45,-66.8,-16.47
DCM Shriram Ltd.,DCMSHRIRAM,7,1,941.5,954.35,936.1,944.45,947.8,3.35,1,26354,24980693.06,1263.85,855.0,3.56,-4.8
Deepak Nitrite Ltd.,DEEPAKNTR,2,1,1741.0,1755.95,1681.15,1736.4,1726.2,-10.2,0,894640,1526175322.4,3020.0,1681.15,-3.99,-13.05
Delta Corp Ltd.,DELTACORP,6,1,167.05,174.55,166.0,166.45,172.45,6.0,1,10179569,1744370943.84,339.7,162.1,-6.09,-23.79
Devyani International Ltd.,DEVYANI,6,1,156.35,159.7,152.7,155.35,158.0,2.65,1,1367282,214950403.22,198.9,107.55,-11.06,-8.89
Dhani Services Ltd.,DHANI,9,1,37.6,37.6,34.2,35.85,35.3,-0.55,0,20638577,751037817.03,242.9,28.5,-79.85,-28.44
Divi's Laboratories Ltd.,DIVISLAB,11,1,3590.35,3649.6,3581.05,3630.4,3647.0,16.6,1,304397,1099975087.14,5425.1,3365.55,-17.65,1.09
Dixon Technologies (India) Ltd.,DIXON,5,1,3575.0,3606.75,3517.0,3575.0,3594.0,19.0,1,157931,563530973.51,6243.6,3180.55,-19.14,-7.35
DLF Ltd.,DLF,17,1,310.4,324.4,309.45,312.7,323.0,10.3,1,5557896,1764076190.4,449.7,279.45,11.24,-9.51
Avenue Supermarts Ltd.,DMART,6,1,3394.45,3406.65,3331.1,3406.1,3395.0,-11.1,0,311228,1049656889.64,5900.0,3186.0,1.85,-14.26
Dr. Reddy's Laboratories Ltd.,DRREDDY,11,1,4385.0,4395.0,4290.05,4393.8,4385.0,-8.8,0,304799,1327369165.1,5614.6,3654.0,-18.98,0.55
Easy Trip Planners Ltd.,EASEMYTRIP,6,1,392.2,402.9,390.4,391.4,400.95,9.55,1,1105653,441277168.83,717.65,261.0,-0.66,2.78
eClerx Services Ltd.,ECLERX,18,1,1920.25,1920.25,1888.8,1920.25,1905.2,-15.05,0,12475,23805543.5,2970.0,1755.65,-11.06,-5.53
Edelweiss Financial Services Ltd.,EDELWEISS,9,1,52.05,52.5,50.85,51.55,51.85,0.3,1,613698,31666816.8,100.9,49.4,-28.75,-5.76
Eicher Motors Ltd.,EICHERMOT,0,1,2775.0,2809.8,2750.4,2794.35,2789.0,-5.35,0,367512,1018802065.92,2994.0,2159.55,4.61,0.49
E.I.D. Parry (India) Ltd.,EIDPARRY,8,1,525.5,532.55,513.0,530.6,529.0,-1.6,0,228073,119282179.0,576.0,377.3,24.42,-4.51
EIH Ltd.,EIHOTEL,6,1,124.4,127.95,124.2,124.9,126.9,2.0,1,162116,20512537.48,171.75,100.0,11.57,-7.58
Elgi Equipments Ltd.,ELGIEQUIP,1,1,351.5,362.4,344.35,358.5,347.0,-11.5,0,204302,71922476.08,422.3,191.3,73.27,4.11
